project_child_id,ref_age_class,ref_source,ref_source_ode,outcome
183590,EI to KG,secondary,Physician/Clinic,
188761,EI,primary,Parents/Family,p
188761,ECSE,primary,Parents/Family,p
183775,ECSE,primary,Physician/Clinic,ia
183775,ECSE,primary,Physician/Clinic,p
187484,EI,primary,Physician/Clinic,ia
187484,EI,primary,Physician/Clinic,ia
187484,EI,primary,Other,ia
187484,EI,primary,Other,p
180696,EI,primary,Physician/Clinic,p
184798,EI,primary,Parents/Family,p
187792,EI,primary,Parents/Family,ia
187792,EI to KG,primary,Head Start,p
188028,EI,primary,Parents/Family,p
181919,EI to ECSE,primary,Parents/Family,ia
181919,EI to ECSE,primary,Other,p
188628,EI,primary,Parents/Family,p
186019,EI,primary,CAPTA,ia
186019,EI,primary,Other,ia
186019,EI to ECSE,primary,Other,p
187847,EI,primary,CAPTA,ia
187847,EI,primary,Other,p
189513,EI,primary,Other EI/ECSE program,p
189513,ECSE,primary,Other,p
186607,EI,primary,Parents/Family,ia
186607,EI,secondary,Physician/Clinic,
186607,EI,primary,Parents/Family,p
186607,EI,secondary,Physician/Clinic,
188749,ECSE,primary,Other EI/ECSE program,p
188749,ECSE,secondary,Physician/Clinic,
181484,ECSE,primary,Other EI/ECSE program,p
185211,EI,primary,CAPTA,ia
185211,EI,primary,CAPTA,ia
185211,EI,primary,Other,p
184877,EI,primary,Parents/Family,p
182110,EI,primary,Physician/Clinic,ia
182110,EI to ECSE,primary,Parents/Family,p
184917,EI,primary,Parents/Family,ia
184917,EI,primary,Parents/Family,p
184752,EI,primary,CAPTA,p
184752,EI,secondary,Hospital,
184752,EI,primary,Parents/Family,p
187167,EI to ECSE,primary,Other,ia
187167,ECSE,primary,Parents/Family,p
187167,ECSE,primary,Parents/Family,p
182952,EI,primary,Physician/Clinic,p
182976,EI,primary,Physician/Clinic,p
182976,EI to KG,secondary,Physician/Clinic,
187289,EI,primary,Physician/Clinic,p
187289,ECSE,primary,Parents/Family,p
187289,ECSE,primary,Physician/Clinic,p
180148,EI,primary,Parents/Family,p
186014,EI,primary,Physician/Clinic,p
186014,ECSE,primary,Other,p
187777,ECSE,primary,Head Start,p
187258,EI,primary,Parents/Family,ia
187258,EI,primary,Parents/Family,p
187258,EI,secondary,Physician/Clinic,
181519,EI,primary,Parents/Family,p
187529,EI,primary,Parents/Family,p
184171,EI,primary,Physician/Clinic,ia
184171,ECSE,primary,Other,p
183731,EI,primary,Parents/Family,ia
183731,EI,primary,Other,ia
183731,EI to KG,primary,Childcare/Preschool,p
189301,EI,primary,Parents/Family,p
183122,EI,primary,Parents/Family,ia
183122,ECSE,primary,Other DHS,p
183122,ECSE,secondary,Physician/Clinic,
182247,EI,primary,Parents/Family,ia
182247,EI,secondary,Physician/Clinic,
182247,ECSE,primary,Other DHS,p
189956,EI,primary,Parents/Family,p
189956,ECSE,primary,Other,p
181507,EI,primary,Parents/Family,p
188608,EI,primary,Physician/Clinic,ia
188608,EI,primary,Physician/Clinic,p
186718,EI,primary,CAPTA,ia
186718,EI to ECSE,primary,Parents/Family,ia
186718,ECSE,primary,Other DHS,p
186718,ECSE,secondary,Physician/Clinic,
182578,EI,primary,CAPTA,ia
182578,EI,primary,Head Start,p
182578,EI to KG,secondary,Head Start,
189962,EI,primary,Parents/Family,p
189962,EI,secondary,Physician/Clinic,
186955,EI,primary,Parents/Family,ia
186955,ECSE,primary,Other,p
184730,ECSE,primary,Parents/Family,p
184730,ECSE,secondary,Physician/Clinic,
186914,EI,primary,Hospital,p
186914,EI,secondary,CAPTA,
187489,EI,primary,Physician/Clinic,ia
187489,EI,primary,Physician/Clinic,ia
187489,EI,primary,Other,ia
187489,EI to ECSE,primary,Parents/Family,p
180516,ECSE,primary,Other,p
189400,ECSE,primary,Parents/Family,p
189400,EI,primary,Physician/Clinic,ia
181740,EI,primary,Physician/Clinic,ia
181740,EI,primary,Other,p
188598,ECSE,primary,Other DHS,p
182960,EI,primary,CAPTA,ia
182960,EI,primary,Other,ia
182960,EI,primary,Other,ia
182960,EI to ECSE,primary,Parents/Family,p
183656,ECSE,primary,Physician/Clinic,ia
183656,ECSE,primary,Parents/Family,p
180765,EI,primary,Physician/Clinic,ia
180765,EI,primary,Parents/Family,ia
180765,ECSE,primary,Head Start,p
182134,EI,primary,Parents/Family,ia
182134,EI,primary,Physician/Clinic,p
182134,EI,primary,Other,p
182134,ECSE,primary,Parents/Family,p
181135,EI,primary,Parents/Family,p
180779,EI,primary,Physician/Clinic,p
187013,EI,primary,Parents/Family,p
185803,EI,primary,Physician/Clinic,ia
185803,EI,primary,Physician/Clinic,ia
185803,EI,primary,Parents/Family,p
184335,EI,primary,Physician/Clinic,ia
184335,EI,secondary,Childcare/Preschool,
184335,EI,primary,Parents/Family,p
187928,ECSE,primary,Other,p
189705,EI,primary,Parents/Family,p
186456,EI,primary,Parents/Family,ia
186456,EI,secondary,Physician/Clinic,
186456,EI to ECSE,primary,Parents/Family,p
182934,EI,primary,Physician/Clinic,ia
182934,EI,primary,Other,ia
182934,EI,primary,Other,p
183671,EI,primary,Parents/Family,p
183671,EI,secondary,Physician/Clinic,
182401,EI,primary,Physician/Clinic,ia
182401,EI to KG,primary,Physician/Clinic,ia
182401,EI to KG,primary,Parents/Family,p
181194,EI,primary,Physician/Clinic,p
182289,EI to ECSE,primary,Physician/Clinic,p
186706,EI,primary,Hospital,p
186133,EI,primary,Physician/Clinic,p
180469,ECSE,primary,Parents/Family,ia
180469,ECSE,primary,Parents/Family,p
183488,EI,primary,Physician/Clinic,ia
183488,EI,primary,Parents/Family,p
188759,EI,primary,Public Health,p
183736,EI,primary,Physician/Clinic,p
182923,EI,primary,Physician/Clinic,p
180409,EI,primary,Physician/Clinic,p
180302,EI,primary,Physician/Clinic,ia
180302,EI,primary,Parents/Family,p
184231,EI,primary,Physician/Clinic,ia
184231,EI,primary,Parents/Family,ia
184231,EI,primary,Childcare/Preschool,p
186261,EI,primary,EHDI,p
186807,EI to ECSE,primary,Parents/Family,ia
186807,ECSE,primary,Parents/Family,p
181285,EI,primary,Physician/Clinic,p
181285,ECSE,secondary,Physician/Clinic,
184887,EI,primary,CAPTA,p
187647,EI,primary,Healthy Families Oregon,p
187647,EI to ECSE,secondary,Physician/Clinic,
187647,EI to ECSE,secondary,CAPTA,
182319,EI,primary,Physician/Clinic,ia
182319,EI to ECSE,primary,Other,p
189189,EI,primary,Physician/Clinic,p
189189,EI,secondary,Hospital,
183091,EI,primary,Physician/Clinic,ia
183091,EI,primary,Physician/Clinic,ia
183091,ECSE,primary,Physician/Clinic,ia
183091,ECSE,primary,Parents/Family,p
186419,EI,primary,Physician/Clinic,ia
186419,EI,primary,Other,ia
186419,EI to ECSE,primary,Parents/Family,p
188188,EI,primary,Parents/Family,p
182155,EI,primary,CAPTA,p
182155,ECSE,primary,Healthy Families Oregon,ia
184848,EI,primary,Other,p
183115,EI,primary,Physician/Clinic,ia
183115,EI,primary,Physician/Clinic,ia
183115,EI,primary,Parents/Family,p
182194,EI,primary,Physician/Clinic,p
182194,EI,secondary,CAPTA,
181681,ECSE,primary,Physician/Clinic,ia
181681,ECSE,primary,Parents/Family,ia
181681,ECSE,primary,Head Start,p
187829,EI,primary,Physician/Clinic,ia
187829,EI,primary,Physician/Clinic,ia
187829,ECSE,primary,Physician/Clinic,ia
187829,ECSE,primary,Parents/Family,ia
187829,ECSE,primary,Parents/Family,p
184907,EI,primary,Move in from another state,p
184907,EI,secondary,Physician/Clinic,
180300,EI,primary,Physician/Clinic,ia
180300,EI to ECSE,primary,Healthy Families Oregon,ia
180300,ECSE,primary,Other,p
188909,EI,primary,CAPTA,ia
188909,EI,primary,Other,ia
188909,ECSE,primary,Physician/Clinic,p
180940,EI,primary,CAPTA,ia
180940,EI,primary,Parents/Family,p
182861,EI,primary,Parents/Family,p
182861,EI to ECSE,primary,Head Start,p
182861,ECSE,secondary,Other DHS,
183510,EI to ECSE,primary,Parents/Family,ia
183510,ECSE,primary,Parents/Family,p
189328,ECSE,primary,Parents/Family,p
186540,ECSE,primary,Parents/Family,ia
186540,ECSE,primary,Parents/Family,p
189449,ECSE,primary,Parents/Family,ia
189449,ECSE,primary,Parents/Family,p
185964,EI,primary,Parents/Family,p
185964,EI,secondary,EHDI,
185610,EI,primary,Parents/Family,ia
185610,EI,primary,Parents/Family,p
184013,EI,primary,Physician/Clinic,ia
184013,EI,primary,Public Health,ia
184013,EI,primary,Parents/Family,ia
184013,EI,primary,Parents/Family,p
189442,EI,primary,Physician/Clinic,ia
189442,EI,primary,Other,p
184989,EI,primary,Physician/Clinic,p
184989,EI to KG,primary,Parents/Family,p
180706,EI,primary,CAPTA,ia
180706,EI,primary,Other,ia
180706,EI,primary,CAPTA,ia
180706,EI to ECSE,primary,Other,ia
180706,ECSE,primary,Other,p
182184,ECSE,primary,Parents/Family,ia
182184,ECSE,primary,Parents/Family,p
189770,EI,primary,Parents/Family,ia
189770,EI,primary,Public Health,ia
189770,ECSE,primary,Head Start,p
182867,EI,primary,Physician/Clinic,ia
182867,EI,primary,Other,p
183214,EI,primary,Physician/Clinic,ia
183214,EI,primary,Parents/Family,ia
183214,ECSE,primary,Head Start,p
195014,ECSE,primary,Childcare/Preschool,p
196969,EI,primary,Parents/Family,p
191447,EI,primary,Parents/Family,p
195897,EI,primary,Physician/Clinic,ia
195897,ECSE,primary,Physician/Clinic,p
195438,EI,primary,Parents/Family,ia
195438,EI,primary,Parents/Family,p
194203,EI,primary,Physician/Clinic,ia
194203,EI,primary,Physician/Clinic,p
195904,EI,primary,Physician/Clinic,ia
195904,EI,primary,Physician/Clinic,ia
195904,EI,primary,Physician/Clinic,ia
195904,EI,primary,Parents/Family,p
191725,EI,primary,Physician/Clinic,ia
191725,EI,primary,Physician/Clinic,ia
191725,EI,primary,Physician/Clinic,ia
191725,EI,primary,Parents/Family,ia
191725,EI to ECSE,primary,Parents/Family,ia
191725,EI to ECSE,primary,Parents/Family,ia
191725,ECSE,primary,Head Start,p
198532,EI,primary,Physician/Clinic,ia
198532,EI,primary,Parents/Family,ia
198532,EI,primary,Parents/Family,p
195739,EI,primary,Parents/Family,p
198343,EI,primary,CAPTA,p
197287,EI,primary,Physician/Clinic,ia
197287,EI,primary,Physician/Clinic,ia
197287,EI,primary,Other,p
195136,EI,primary,Parents/Family,ia
195136,EI,secondary,Physician/Clinic,
195136,EI to ECSE,primary,Other,p
195915,EI,primary,Parents/Family,ia
195915,EI,primary,Parents/Family,p
190547,EI,primary,Physician/Clinic,p
190361,ECSE,primary,Childcare/Preschool,p
193118,EI,primary,Parents/Family,p
197068,EI,primary,Parents/Family,ia
197068,EI,primary,Other,p
199915,EI,primary,Physician/Clinic,ia
199915,EI,primary,Physician/Clinic,ia
199915,ECSE,primary,Head Start,ia
199915,EI to KG,primary,Head Start,p
193716,EI,primary,Healthy Families Oregon,p
193716,EI,secondary,Physician/Clinic,
194710,EI,primary,Physician/Clinic,ia
194710,EI,primary,Other,p
191291,EI,primary,Physician/Clinic,ia
191291,EI,primary,Other,p
195301,EI,primary,Parents/Family,ia
195301,EI to ECSE,primary,Other,p
199099,EI,primary,Other,ia
199099,ECSE,primary,Other,p
198012,EI,primary,Physician/Clinic,ia
198012,EI,primary,Parents/Family,ia
198012,EI to ECSE,primary,Physician/Clinic,p
199646,EI,primary,Physician/Clinic,p
199646,ECSE,primary,Other,p
195017,EI,primary,Parents/Family,p
195017,ECSE,primary,Other,ia
193243,EI,primary,Parents/Family,p
193243,ECSE,primary,Other,ia
194384,EI,primary,CAPTA,ia
194384,ECSE,primary,Childcare/Preschool,p
190391,EI,secondary,CAPTA,
190391,EI,primary,Physician/Clinic,ia
190391,EI,primary,Other,ia
190391,EI,primary,CAPTA,ia
190391,ECSE,primary,Physician/Clinic,p
194392,ECSE,primary,Head Start,p
192437,EI,primary,Parents/Family,ia
192437,ECSE,primary,Parents/Family,p
193233,EI to ECSE,primary,Parents/Family,p
193233,ECSE,primary,Parents/Family,p
190518,EI,primary,Parents/Family,p
190518,EI,secondary,Physician/Clinic,
190550,EI,primary,Physician/Clinic,ia
190550,EI to ECSE,primary,Parents/Family,ia
190550,ECSE,primary,Parents/Family,p
193761,EI,primary,Physician/Clinic,ia
193761,ECSE,primary,Head Start,p
198688,ECSE,primary,Parents/Family,p
198824,EI,primary,Physician/Clinic,ia
198824,EI,primary,Other,ia
198824,ECSE,primary,Head Start,p
193440,EI,primary,Parents/Family,ia
193440,EI to ECSE,primary,Parents/Family,ia
193440,ECSE,primary,Parents/Family,p
193440,ECSE,primary,Other,p
193440,EI to KG,primary,Head Start,p
191002,EI,primary,Physician/Clinic,p
194075,EI,primary,Physician/Clinic,ia
194075,EI to KG,primary,Childcare/Preschool,p
192039,EI,primary,Parents/Family,ia
192039,EI,secondary,Physician/Clinic,
192039,EI to KG,primary,Childcare/Preschool,p
194560,ECSE,primary,Parents/Family,p
199622,EI,primary,Hospital,p
199622,EI,secondary,Physician/Clinic,
199622,EI,secondary,Hospital,
199622,EI,secondary,Hospital,
199622,ECSE,primary,Physician/Clinic,ia
193475,ECSE,primary,Parents/Family,ia
193475,ECSE,primary,Parents/Family,ia
193475,ECSE,primary,Parents/Family,p
191393,ECSE,primary,Physician/Clinic,p
197520,EI,primary,CAPTA,p
197520,EI,secondary,Physician/Clinic,
197520,EI,secondary,Physician/Clinic,
198603,ECSE,primary,Head Start,p
198603,EI to KG,secondary,Physician/Clinic,
193124,EI,primary,Parents/Family,p
193124,ECSE,primary,Physician/Clinic,p
193124,ECSE,primary,Other,p
191886,EI,primary,Hospital,p
190967,ECSE,primary,Parents/Family,p
193480,EI,primary,Hospital,p
193480,EI,primary,Physician/Clinic,ia
193480,EI,primary,Physician/Clinic,p
195445,EI,primary,Physician/Clinic,ia
195445,ECSE,primary,Move in from another state,p
191471,EI,primary,Physician/Clinic,ia
191471,EI,primary,Parents/Family,p
194575,ECSE,primary,Other DHS,ia
194575,ECSE,primary,Other DHS,ia
194575,ECSE,primary,Other DHS,ia
194575,ECSE,primary,Other DHS,ia
194575,ECSE,primary,Other DHS,ia
194575,EI to KG,primary,Other DHS,p
192140,EI,primary,Physician/Clinic,ia
192140,EI,primary,Parents/Family,ia
192140,EI to ECSE,primary,Other,p
195149,EI,primary,Physician/Clinic,ia
195149,EI,primary,Healthy Families Oregon,ia
195149,EI,primary,Parents/Family,ia
195149,EI,primary,Parents/Family,p
195149,ECSE,primary,Parents/Family,p
197553,EI,primary,Parents/Family,p
197078,EI,primary,Physician/Clinic,ia
197078,EI,primary,Parents/Family,ia
197078,ECSE,primary,Parents/Family,p
199381,EI,primary,Hospital,p
199381,ECSE,primary,Other DHS,ia
199381,ECSE,primary,Parents/Family,ia
198683,ECSE,primary,Parents/Family,ia
198683,ECSE,primary,Parents/Family,p
195478,EI,primary,Parents/Family,ia
195478,ECSE,primary,Parents/Family,p
194466,EI,primary,Physician/Clinic,ia
194466,EI,primary,Other,p
192927,EI to ECSE,primary,Public Health,ia
192927,ECSE,primary,Parents/Family,p
194249,EI,primary,Hospital,p
190182,EI to ECSE,primary,CAPTA,p
190182,EI to ECSE,secondary,Physician/Clinic,
193779,EI,primary,CAPTA,p
193455,EI to ECSE,primary,Parents/Family,p
193455,EI to ECSE,secondary,Physician/Clinic,
190024,ECSE,primary,Parents/Family,p
199140,EI,primary,Parents/Family,ia
199140,ECSE,primary,Childcare/Preschool,p
191882,EI,primary,Physician/Clinic,p
196000,EI,primary,Parents/Family,p
195925,EI,primary,Parents/Family,ia
195925,EI to ECSE,primary,Other,p
191265,EI,primary,Parents/Family,ia
191265,EI,primary,Physician/Clinic,p
191265,EI,primary,Other,p
190014,EI,primary,Parents/Family,p
198122,EI,primary,Parents/Family,ia
198122,EI,primary,Parents/Family,p
196426,EI,primary,Physician/Clinic,ia
196426,EI,primary,Parents/Family,p
190318,EI,primary,Physician/Clinic,ia
190318,EI,primary,Other,p
197088,EI,primary,Hospital,ia
197088,EI,primary,Parents/Family,p
197088,EI,secondary,Physician/Clinic,
195466,EI,primary,Physician/Clinic,ia
195466,EI,primary,Physician/Clinic,ia
195466,ECSE,primary,Physician/Clinic,p
193551,ECSE,primary,Other DHS,ia
193551,ECSE,primary,Physician/Clinic,p
193128,EI,primary,Parents/Family,p
196277,EI,primary,Hospital,p
190274,EI,primary,Hospital,p
194287,EI,primary,Private Therapy,p
194287,EI,secondary,CAPTA,
197300,EI,primary,Public Health,ia
197300,EI,primary,Other,p
197300,EI,secondary,CAPTA,
198399,EI,primary,Parents/Family,p
196989,EI,primary,Parents/Family,ia
196989,EI,secondary,Physician/Clinic,
196989,EI,primary,Parents/Family,p
196989,EI,secondary,Physician/Clinic,
195184,ECSE,primary,Physician/Clinic,ia
195184,ECSE,primary,Parents/Family,p
193923,ECSE,primary,Parents/Family,p
199792,EI,primary,Parents/Family,ia
199792,EI,primary,Parents/Family,p
195504,EI,primary,Physician/Clinic,p
196080,EI,primary,Physician/Clinic,p
196080,EI to KG,secondary,Other DHS,
196080,EI to KG,secondary,Other DHS,
194822,EI,primary,Physician/Clinic,p
193236,EI,primary,Parents/Family,p
198437,EI,primary,Hospital,p
190938,ECSE,primary,Parents/Family,p
190620,EI,primary,Physician/Clinic,ia
190620,EI,primary,Physician/Clinic,p
198390,EI,primary,Physician/Clinic,ia
198390,EI,primary,Physician/Clinic,p
196372,EI,primary,Healthy Families Oregon,ia
196372,ECSE,primary,Head Start,p
196881,EI,primary,Physician/Clinic,ia
196881,EI,primary,Other,p
196881,EI to ECSE,secondary,CAPTA,
196881,ECSE,primary,Parents/Family,p
196760,EI,primary,Hospital,p
197567,EI to ECSE,primary,Physician/Clinic,ia
197567,ECSE,primary,Parents/Family,p
199106,ECSE,primary,Physician/Clinic,p
193631,EI,primary,CAPTA,ia
193631,EI,primary,Other,ia
193631,EI to ECSE,primary,Childcare/Preschool,p
194373,EI to ECSE,primary,Other DHS,p
195124,EI,primary,CAPTA,ia
195124,EI,primary,Childcare/Preschool,ia
195124,ECSE,primary,Head Start,p
193394,ECSE,primary,Parents/Family,p
192975,ECSE,primary,Physician/Clinic,p
197033,EI,primary,Physician/Clinic,ia
197033,EI,primary,Other,ia
197033,EI,primary,Parents/Family,p
195146,EI,primary,Physician/Clinic,ia
195146,EI,primary,Physician/Clinic,ia
195146,ECSE,primary,Physician/Clinic,p
193977,EI,primary,Physician/Clinic,ia
193977,EI,primary,Physician/Clinic,ia
193977,ECSE,primary,Physician/Clinic,ia
193977,EI to KG,primary,Head Start,p
192558,EI,primary,Hospital,ia
192558,EI,primary,Parents/Family,p
192518,EI,primary,Physician/Clinic,ia
192518,ECSE,primary,Physician/Clinic,p
192916,EI,primary,Parents/Family,ia
192916,EI,secondary,Physician/Clinic,
192916,EI,primary,Other,p
190842,EI,primary,Physician/Clinic,ia
190842,ECSE,primary,Parents/Family,p
198331,EI,primary,Physician/Clinic,ia
198331,EI to ECSE,primary,Parents/Family,p
194934,EI,primary,Public Health,ia
194934,EI,primary,Parents/Family,p
194934,EI,secondary,CAPTA,
194934,ECSE,primary,Head Start,p
197857,EI to ECSE,primary,Parents/Family,p
197857,ECSE,secondary,Physician/Clinic,
195721,ECSE,primary,Physician/Clinic,p
191853,EI,primary,Physician/Clinic,ia
191853,EI,primary,Parents/Family,ia
191853,EI,primary,Physician/Clinic,p
190807,EI,primary,Parents/Family,p
193858,EI,primary,Physician/Clinic,ia
193858,ECSE,primary,Parents/Family,p
196779,ECSE,primary,Childcare/Preschool,ia
196779,ECSE,primary,Other,ia
196779,ECSE,primary,Parents/Family,ia
196779,ECSE,primary,Parents/Family,p
191930,EI,primary,Hospital,ia
191930,ECSE,primary,Physician/Clinic,p
190304,EI,primary,Physician/Clinic,ia
190304,EI,primary,Parents/Family,ia
190304,ECSE,primary,Parents/Family,p
191684,EI,primary,Physician/Clinic,ia
191684,EI,primary,Physician/Clinic,ia
191684,EI,primary,Parents/Family,ia
191684,EI to ECSE,primary,Parents/Family,p
190784,EI to ECSE,primary,Parents/Family,p
190784,ECSE,secondary,Head Start,
197394,ECSE,primary,Other DHS,p
197394,ECSE,secondary,Parents/Family,
198987,ECSE,primary,Parents/Family,p
198987,EI to KG,secondary,Other DHS,
198326,EI,primary,CAPTA,ia
198326,EI,primary,CAPTA,p
195792,EI,primary,Physician/Clinic,ia
195792,EI,primary,Other,p
190268,ECSE,primary,Parents/Family,ia
190268,ECSE,primary,Parents/Family,p
199930,EI,primary,Move in from another state,p
190061,EI,primary,Other EI/ECSE program,p
195939,EI,primary,Parents/Family,ia
195939,EI to ECSE,primary,Parents/Family,ia
195939,EI to ECSE,primary,Parents/Family,p
199014,EI,primary,Physician/Clinic,ia
199014,EI,primary,CAPTA,p
199014,EI,secondary,Physician/Clinic,
199943,EI,primary,Physician/Clinic,ia
199943,EI to ECSE,primary,Other,p
194062,EI,primary,Physician/Clinic,ia
194062,ECSE,primary,Childcare/Preschool,ia
194062,ECSE,primary,Other,p
197237,EI,primary,Hospital,ia
197237,EI,primary,Physician/Clinic,ia
197237,EI,primary,Other,ia
197237,EI,primary,Parents/Family,p
195884,EI,primary,Physician/Clinic,ia
195884,EI to KG,primary,Head Start,p
190993,EI,primary,Physician/Clinic,ia
190993,ECSE,primary,Physician/Clinic,p
193726,EI,primary,Physician/Clinic,ia
193726,EI,primary,Physician/Clinic,ia
193726,ECSE,primary,Other DHS,ia
193726,ECSE,primary,Parents/Family,p
195310,EI,primary,Physician/Clinic,ia
195310,EI to KG,primary,Childcare/Preschool,p
198364,EI,primary,Physician/Clinic,ia
198364,EI,primary,Physician/Clinic,ia
198364,EI,primary,Physician/Clinic,p
192250,EI,primary,Physician/Clinic,ia
192250,EI,primary,Other,ia
192250,ECSE,primary,Parents/Family,p
197481,EI,primary,Physician/Clinic,p
195776,ECSE,primary,Parents/Family,p
192659,ECSE,primary,Physician/Clinic,p
190147,EI,primary,Parents/Family,p
191416,EI,primary,Physician/Clinic,p
196455,EI,primary,Hospital,p
196455,EI,secondary,CAPTA,
196455,EI,secondary,Physician/Clinic,
194592,EI to ECSE,primary,Physician/Clinic,ia
194592,ECSE,primary,Physician/Clinic,ia
194592,ECSE,primary,Head Start,p
194701,EI,primary,Hospital,p
193330,EI,primary,Physician/Clinic,ia
193330,EI to ECSE,primary,Other,p
194139,EI,primary,CAPTA,ia
194139,EI,primary,Other,p
194139,EI,secondary,Physician/Clinic,
194258,EI,primary,CAPTA,ia
194258,EI,primary,Physician/Clinic,ia
194258,EI,primary,CAPTA,ia
194258,EI,primary,Parents/Family,ia
194258,ECSE,primary,Physician/Clinic,p
194784,EI,primary,Physician/Clinic,ia
194784,EI to ECSE,primary,Parents/Family,p
199403,EI to ECSE,primary,Parents/Family,ia
199403,ECSE,primary,Parents/Family,ia
199403,ECSE,primary,Other,p
199699,ECSE,primary,Childcare/Preschool,p
194184,ECSE,primary,Parents/Family,p
192355,ECSE,primary,Parents/Family,p
191174,ECSE,primary,Healthy Families Oregon,p
197156,EI,primary,Public Health,ia
197156,EI,primary,Parents/Family,ia
197156,EI,primary,Physician/Clinic,ia
197156,EI,primary,Parents/Family,p
193586,EI,primary,Public Health,ia
193586,EI,primary,Parents/Family,ia
193586,EI,secondary,Physician/Clinic,
193586,EI,primary,Parents/Family,p
198863,EI,primary,Hospital,p
198863,EI,secondary,Hospital,
190507,ECSE,primary,Childcare/Preschool,p
196373,EI,primary,Physician/Clinic,p
196373,EI,secondary,CAPTA,
192060,EI,primary,CAPTA,p
197161,EI,primary,CAPTA,ia
197161,EI,primary,Parents/Family,ia
197161,EI to ECSE,primary,Other,p
193730,EI,primary,Physician/Clinic,ia
193730,ECSE,primary,Physician/Clinic,ia
193730,ECSE,primary,Parents/Family,p
194903,EI,primary,Parents/Family,p
196158,EI,primary,Physician/Clinic,ia
196158,EI,primary,Physician/Clinic,ia
196158,EI,primary,Parents/Family,ia
196158,ECSE,primary,Parents/Family,p
191759,EI,primary,Physician/Clinic,ia
191759,EI,primary,Parents/Family,p
191759,ECSE,primary,Other,ia
199589,EI,primary,Physician/Clinic,ia
199589,ECSE,primary,Childcare/Preschool,p
198979,EI,primary,CAPTA,p
194841,EI,primary,Physician/Clinic,p
191063,EI,primary,Physician/Clinic,p
194884,EI,primary,Hospital,p
194884,EI,secondary,CAPTA,
198112,EI,primary,EHDI,p
198112,EI,secondary,Physician/Clinic,
194111,EI,primary,Physician/Clinic,p
190629,EI,primary,Healthy Families Oregon,ia
190629,EI,primary,Physician/Clinic,p
190541,EI,primary,Parents/Family,ia
190541,ECSE,primary,Parents/Family,p
191600,ECSE,primary,Parents/Family,p
199985,EI,primary,Parents/Family,p
199474,EI,primary,Physician/Clinic,p
192471,EI,primary,CAPTA,ia
192471,EI,primary,Private Therapy,ia
192471,EI,primary,CAPTA,ia
192471,EI,primary,CAPTA,p
192471,ECSE,secondary,Other DHS,
192758,EI,primary,Parents/Family,p
197588,EI,primary,Physician/Clinic,ia
197588,EI,primary,Parents/Family,p
190775,EI,primary,Hospital,p
190775,EI,secondary,CAPTA,
196976,ECSE,primary,Parents/Family,p
196976,ECSE,secondary,Physician/Clinic,
192784,ECSE,primary,Physician/Clinic,p
195177,EI to ECSE,primary,Parents/Family,p
195177,ECSE,secondary,EHDI,
199220,EI,primary,Parents/Family,p
196018,EI,primary,CAPTA,ia
196018,EI,primary,CAPTA,ia
196018,ECSE,primary,Parents/Family,p
196018,ECSE,secondary,Physician/Clinic,
198387,ECSE,primary,Parents/Family,p
198632,EI to ECSE,primary,Parents/Family,p
190112,ECSE,primary,Move in from another state,p
197649,EI,primary,Parents/Family,p
197649,EI to ECSE,primary,Parents/Family,p
190732,EI,primary,Parents/Family,p
190043,EI to ECSE,primary,Physician/Clinic,ia
190043,ECSE,primary,Head Start,p
199426,EI,primary,Physician/Clinic,p
193198,EI,primary,Physician/Clinic,ia
193198,EI,primary,Other,p
196855,EI,primary,Hospital,p
196855,EI,secondary,CAPTA,
196855,EI,secondary,Physician/Clinic,
196855,EI,primary,Parents/Family,p
198982,EI,primary,Hospital,p
198982,EI,secondary,CAPTA,
198982,EI,secondary,Physician/Clinic,
198982,EI,primary,Parents/Family,p
191690,EI to ECSE,primary,Parents/Family,p
196247,EI,primary,Parents/Family,ia
196247,EI to KG,primary,Childcare/Preschool,p
194659,EI,primary,Healthy Families Oregon,p
195914,EI,primary,Healthy Families Oregon,ia
195914,EI,primary,Healthy Families Oregon,p
198713,EI,primary,Physician/Clinic,ia
198713,ECSE,primary,Other,p
191680,EI,primary,Physician/Clinic,p
196633,EI,primary,CAPTA,ia
196633,EI,primary,CAPTA,p
198295,ECSE,primary,Physician/Clinic,p
196443,EI,primary,Physician/Clinic,ia
196443,ECSE,primary,Healthy Families Oregon,p
199264,EI,primary,Physician/Clinic,ia
199264,ECSE,primary,Physician/Clinic,p
199010,EI,primary,Healthy Families Oregon,p
199010,EI,secondary,Physician/Clinic,
193927,EI,primary,Parents/Family,ia
193927,ECSE,primary,Other DHS,p
197355,EI,primary,CAPTA,ia
197355,EI,primary,CAPTA,ia
197355,EI,primary,Parents/Family,p
192316,EI,primary,CAPTA,p
192316,EI,secondary,CAPTA,
192316,EI,secondary,Physician/Clinic,
192316,EI,secondary,CAPTA,
198684,ECSE,primary,Physician/Clinic,ia
198684,ECSE,primary,Head Start,p
199440,ECSE,primary,Childcare/Preschool,p
195361,ECSE,primary,Childcare/Preschool,p
195786,EI,primary,Other,ia
195786,EI,primary,Physician/Clinic,ia
195786,ECSE,primary,Parents/Family,p
195786,ECSE,primary,Parents/Family,p
192578,ECSE,primary,Other DHS,p
199472,EI,primary,Physician/Clinic,ia
199472,EI,primary,Physician/Clinic,ia
199472,EI,primary,Healthy Families Oregon,ia
199472,EI,primary,Parents/Family,p
